[DEBUG][2020-08-17 16:58:29,023][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 16:59:08,568][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 16:59:11,660][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 16:59:18,605][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:00:56,794][com.uxsino.testFileUtiles]HAHA
DEBUG[DEBUG][2020-08-17 17:01:11,208][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:01:21,631][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:01:38,606][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:03:43,397][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:04:00,444][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:04:11,716][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:06:08,750][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:06:44,326][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:06:45,296][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:06:53,840][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:07:13,145][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:07:32,633][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:09:05,479][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:09:16,912][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:13:21,532][com.uxsino.testFileUtiles]HAHA
[DEBUG][2020-08-17 17:14:07,364][com.uxsino.testFileUtiles]HAHA
[ERROR][2020-08-17 17:14:07,366][com.uxsino.testFileUtiles]yousillyb
[DEBUG][2020-08-17 17:17:10,058][com.uxsino.testFileUtiles]HAHA
[ERROR][2020-08-17 17:17:10,061][com.uxsino.testFileUtiles]yousillyb
[DEBUG][2020-08-17 17:17:21,582][com.uxsino.testFileUtiles]HAHA
[ERROR][2020-08-17 17:17:21,582][com.uxsino.testFileUtiles]yousillyb
[DEBUG][2020-08-17 17:17:57,825][com.uxsino.testFileUtiles]HAHA
[ERROR][2020-08-17 17:17:57,826][com.uxsino.testFileUtiles]yousillyb
[DEBUG][2020-08-17 17:18:09,339][com.uxsino.testFileUtiles]HAHA
[ERROR][2020-08-17 17:18:09,340][com.uxsino.testFileUtiles]yousillyb
[DEBUG][2020-08-17 17:18:46,945][com.uxsino.testFileUtiles]HAHA
[ERROR][2020-08-17 17:18:46,945][com.uxsino.testFileUtiles]yousillyb
[DEBUG][2020-08-17 17:19:10,976][com.uxsino.testFileUtiles]HAHA
[ERROR][2020-08-17 17:19:10,979][com.uxsino.testFileUtiles]yousillyb
[DEBUG][2020-08-17 17:47:19,037][com.uxsino.testFileUtiles]HAHA
[ERROR][2020-08-17 17:47:19,039][com.uxsino.testFileUtiles]yousillyb
[DEBUG][2020-08-17 17:49:05,922][com.uxsino.testFileUtiles]HAHA
[ERROR][2020-08-17 17:49:05,925][com.uxsino.testFileUtiles]yousillyb
[DEBUG][2020-08-17 17:49:12,376][com.uxsino.testFileUtiles]HAHA
[ERROR][2020-08-17 17:49:12,378][com.uxsino.testFileUtiles]yousillyb
[DEBUG][2020-08-24 09:29:07,682][oshi.util.platform.windows.PerfCounterWildcardQuery]Localized PhysicalDisk to PhysicalDisk
[DEBUG][2020-08-24 09:29:08,020][oshi.hardware.platform.windows.WindowsDisplay]Initialized WindowsDisplay
[DEBUG][2020-08-24 09:29:08,026][oshi.util.EdidUtil]Manufacurer ID: 0100000100001100
[DEBUG][2020-08-24 09:29:08,027][oshi.util.EdidUtil]Serial number: [-31, 62, 0, 0]
[DEBUG][2020-08-24 09:29:08,033][oshi.util.EdidUtil]Year-1990: 28
[DEBUG][2020-08-27 18:01:07,387][oshi.util.platform.windows.PerfCounterWildcardQuery]Localized PhysicalDisk to PhysicalDisk
[DEBUG][2020-08-27 18:01:07,634][oshi.hardware.platform.windows.WindowsDisplay]Initialized WindowsDisplay
[DEBUG][2020-08-27 18:01:07,637][oshi.util.EdidUtil]Manufacurer ID: 0100000100001100
[DEBUG][2020-08-27 18:01:07,638][oshi.util.EdidUtil]Serial number: [-31, 62, 0, 0]
[DEBUG][2020-08-27 18:01:07,641][oshi.util.EdidUtil]Year-1990: 28
[DEBUG][2020-08-31 16:31:29,441][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from URL: null
[DEBUG][2020-08-31 16:36:17,292][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from URL: file:/D:/justForTest/target/classes/ehcache.xml
[DEBUG][2020-08-31 16:36:17,296][net.sf.ehcache.config.ConfigurationFactory]Configuring ehcache from InputStream
[DEBUG][2020-08-31 16:36:17,545][net.sf.ehcache.config.BeanHandler]Ignoring ehcache attribute xmlns:xsi
[DEBUG][2020-08-31 16:36:17,548][net.sf.ehcache.config.BeanHandler]Ignoring ehcache attribute xsi:noNamespaceSchemaLocation
[DEBUG][2020-08-31 16:36:17,557][net.sf.ehcache.config.DiskStoreConfiguration]Disk Store Path: C:\Users\uxdb\AppData\Local\Temp\/ehcache
[DEBUG][2020-08-31 16:36:17,593][net.sf.ehcache.CacheManager]Creating new CacheManager with config URL: file:/D:/justForTest/target/classes/ehcache.xml
[DEBUG][2020-08-31 16:36:17,626][net.sf.ehcache.util.PropertyUtil]propertiesString is null.
[DEBUG][2020-08-31 16:36:17,646][net.sf.ehcache.config.ConfigurationHelper]No CacheManagerEventListenerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:36:18,410][net.sf.ehcache.Cache]No BootstrapCacheLoaderFactory class specified. Skipping...
[DEBUG][2020-08-31 16:36:18,411][net.sf.ehcache.Cache]CacheWriter factory not configured. Skipping...
[DEBUG][2020-08-31 16:36:18,411][net.sf.ehcache.config.ConfigurationHelper]No CacheExceptionHandlerFactory class specified. Skipping...
[DEBUG][2020-08-31 16:36:18,418][net.sf.ehcache.Cache]No BootstrapCacheLoaderFactory class specified. Skipping...
